rank,batch,cmap name,dose,cell,score,up,down,instance_id
1681,681,fenbufen,16 ?M,PC3,0,0.326,0.661,3721
1682,699,clemizole,11 ?M,MCF7,0,0.326,0.503,4695
1683,1050,trichostatin A,1 ?M,PC3,0,0.326,0.739,6874
1684,640,imipenem,13 ?M,HL60,0,0.326,0.485,1724
1685,751,methylbenzethonium chloride,9 ?M,MCF7,0,0.326,0.622,6045
1686,613,diltiazem,9 ?M,HL60,0,0.326,0.711,2032
1687,699,alexidine,7 ?M,MCF7,0,0.325,0.497,4721
1688,1029,0225151-0000,10 ?M,PC3,0,0.325,0.433,6426
1689,613,erythromycin,5 ?M,HL60,0,0.324,0.529,2010
1690,683,lycorine,12 ?M,PC3,0,0.324,0.533,3808
1691,672,mestranol,13 ?M,MCF7,0,0.324,0.445,3346
1692,715,digoxin,5 ?M,PC3,0,0.324,0.869,6724
1693,635,pyrazinamide,32 ?M,HL60,0,0.324,0.474,2478
1694,713,menadione,23 ?M,PC3,0,0.323,0.603,4662
1695,691,thioridazine,10 ?M,MCF7,0,0.323,0.456,4164
1696,642,phenelzine,17 ?M,MCF7,0,0.323,0.513,2319
1697,683,beta-escin,3 ?M,PC3,0,0.323,0.667,3807
1698,613,apomorphine,6 ?M,HL60,0,0.323,0.67,2005
1699,623,phenylpropanolamine,21 ?M,HL60,0,0.323,0.357,1602
1700,683,flutamide,14 ?M,PC3,0,0.323,0.66,3803
1701,640,clorsulon,11 ?M,HL60,0,0.322,0.446,1735
1702,762,trichostatin A,100 nM,PC3,0,0.322,0.613,7285
1703,728,astemizole,9 ?M,PC3,0,0.322,0.723,4471
1704,753,dextromethorphan,11 ?M,PC3,0,0.322,0.59,6300
1705,718,prenylamine,10 ?M,PC3,0,0.321,0.38,5070
1706,750,fulvestrant,10 nM,HL60,0,0.321,0.489,6197
1707,731,trichostatin A,100 nM,PC3,0,0.321,0.582,5745
1708,713,enoxacin,12 ?M,PC3,0,0.321,0.644,4655
1709,681,cloperastine,11 ?M,PC3,0,0.32,0.816,3710
1710,707,clorgiline,13 ?M,MCF7,0,0.32,0.649,5005
1711,732,papaverine,11 ?M,PC3,0,0.319,0.479,5769
1712,656,etifenin,12 ?M,MCF7,0,0.319,0.506,2838
1713,1044,AG-028671,10 ?M,PC3,0,0.318,0.649,6582
1714,612,minoxidil,19 ?M,HL60,0,0.318,0.438,1996
1715,617,hydrastinine,16 ?M,PC3,0,0.317,0.481,2119
1716,653,ketoconazole,8 ?M,MCF7,0,0.317,0.434,2640
1717,688,ginkgolide A,10 ?M,PC3,0,0.317,0.572,4002
1718,632,amiloride,13 ?M,MCF7,0,0.317,0.627,1470
1719,725,thioridazine,10 ?M,MCF7,0,0.317,0.449,5227
1720,750,trifluoperazine,10 ?M,HL60,0,0.317,0.548,6183
1721,74,fulvestrant,1 ?M,ssMCF7,0,0.317,0.461,523
1722,713,phthalylsulfathiazole,10 ?M,PC3,0,0.316,0.676,4653
1723,1079,0198306-0000,10 ?M,PC3,0,0.316,0.507,7102
1724,642,griseofulvin,11 ?M,MCF7,0,0.316,0.763,2293
1725,728,clobetasol,9 ?M,PC3,0,0.315,0.469,4497
1726,611,edrophonium chloride,20 ?M,PC3,0,0.315,0.322,1936
1727,650,nordihydroguaiaretic acid,1 ?M,HL60,0,0.315,0.644,2683
1728,715,fluoxetine,12 ?M,PC3,0,0.314,0.629,6757
1729,647,sulfafurazole,15 ?M,MCF7,0,0.314,0.593,3218
1730,677,pyrvinium,3 ?M,MCF7,0,0.313,0.434,3518
1731,502,bucladesine,2 ?M,MCF7,0,0.313,0.523,959
1732,641,epivincamine,11 ?M,HL60,0,0.313,0.555,1783
1733,626,trifluoperazine,10 ?M,MCF7,0,0.313,0.487,1649
1734,618,phentolamine,13 ?M,HL60,0,0.313,0.654,2362
1735,706,miconazole,10 ?M,MCF7,0,0.313,0.804,4960
1736,622,clotrimazole,12 ?M,HL60,0,0.313,0.58,1549
1737,506,sirolimus,100 nM,MCF7,0,0.313,0.721,987
1738,744,hydrocotarnine,13 ?M,MCF7,0,0.313,0.632,6827
1739,506,genistein,10 ?M,MCF7,0,0.312,0.673,1015
1740,1050,BAS-012416453,38 ?M,PC3,0,0.312,0.401,6876
1741,627,todralazine,15 ?M,MCF7,0,0.311,0.499,1677
1742,629,procaine,15 ?M,HL60,0,0.311,0.63,1838
1743,1051,H-89,500 nM,MCF7,0,0.311,0.45,6878
1744,610,cinchocaine,12 ?M,PC3,0,0.311,0.283,1889
1745,603,valproic acid,200 ?M,PC3,0,0.311,0.494,1214
1746,1007,LY-294002,10 ?M,PC3,0,0.311,0.459,5942
1747,725,sirolimus,100 nM,MCF7,0,0.31,0.6,5218
1748,725,alpha-estradiol,10 nM,MCF7,0,0.31,0.484,5207
1749,670,cefazolin,8 ?M,MCF7,0,0.31,0.516,3426
1750,513,LY-294002,10 ?M,MCF7,0,0.31,0.338,1077
1751,693,7-aminocephalosporanic acid,15 ?M,PC3,0,0.31,0.404,4242
1752,680,fludroxycortide,9 ?M,PC3,0,0.31,0.477,3679
1753,746,mephenytoin,18 ?M,MCF7,0,0.31,0.363,6275
1754,628,imipramine,13 ?M,PC3,0,0.309,0.451,1807
1755,732,ebselen,15 ?M,PC3,0,0.309,0.544,5778
1756,611,zimeldine,10 ?M,PC3,0,0.309,0.643,1930
1757,656,vancomycin,3 ?M,MCF7,0,0.308,0.478,2858
1758,683,"2,6-dimethylpiperidine",27 ?M,PC3,0,0.308,0.578,3806
1759,506,wortmannin,10 nM,MCF7,0,0.308,0.596,1023
1760,719,prednisolone,11 ?M,PC3,0,0.307,0.487,5101
1761,708,perphenazine,10 ?M,MCF7,0,0.307,0.533,5698
1762,707,edrophonium chloride,20 ?M,MCF7,0,0.307,0.643,5001
1763,613,amoxapine,13 ?M,HL60,0,0.307,0.494,2013
1764,757,LY-294002,10 ?M,MCF7,0,0.307,0.511,5596
1765,687,homosalate,15 ?M,MCF7,0,0.307,0.405,3879
1766,626,sirolimus,100 nM,MCF7,0,0.306,0.518,1646
1767,712,hymecromone,23 ?M,PC3,0,0.306,0.523,4623
1768,617,ranitidine,11 ?M,PC3,0,0.306,0.65,2088
1769,730,rolitetracycline,8 ?M,MCF7,0,0.305,0.662,5331
1770,710,doxazosin,7 ?M,PC3,0,0.305,0.655,6642
1771,750,haloperidol,10 ?M,HL60,0,0.305,0.641,6163
1772,65,LY-294002,10 ?M,PC3,0,0.305,0.425,461
1773,650,chlorpromazine,1 ?M,HL60,0,0.305,0.725,2677
1774,753,ganciclovir,16 ?M,PC3,0,0.305,0.622,6289
1775,712,procainamide,15 ?M,PC3,0,0.304,0.268,4602
1776,762,phenindione,18 ?M,PC3,0,0.304,0.846,7289
1777,731,meprylcaine,15 ?M,PC3,0,0.304,0.51,5723
1778,693,trichostatin A,100 nM,PC3,0,0.303,0.521,4237
1779,762,nortriptyline,13 ?M,PC3,0,0.303,0.67,7300
1780,728,sertaconazole,8 ?M,PC3,0,0.303,0.589,4475
1781,751,Prestwick-674,14 ?M,MCF7,0,0.303,0.628,6034
1782,710,luteolin,14 ?M,PC3,0,0.302,0.528,6658
1783,767,sirolimus,100 nM,MCF7,0,0.302,0.503,6927
1784,610,niclosamide,12 ?M,PC3,0,0.302,0.46,1916
1785,764,"1,4-chrysenequinone",15 ?M,PC3,0,0.302,0.745,7139
1786,672,simvastatin,10 ?M,MCF7,0,0.302,0.526,3340
1787,611,naloxone,11 ?M,PC3,0,0.302,0.869,1924
1788,1057,AH-23848,1 ?M,MCF7,0,0.302,0.506,6903
1789,714,methylergometrine,9 ?M,PC3,0,0.302,0.49,6704
1790,671,cinoxacin,15 ?M,MCF7,0,0.301,0.5,3463
1791,683,CP-690334-01,1 ?M,PC3,0,0.301,0.396,3826
1792,751,Prestwick-665,12 ?M,MCF7,0,0.301,0.772,6041
1793,765,sirolimus,100 nM,MCF7,0,0.301,0.536,6967
1794,513,LY-294002,10 ?M,MCF7,0,0.301,0.473,1065
1795,754,tubocurarine chloride,5 ?M,PC3,0,0.301,0.453,6351
1796,719,parthenolide,16 ?M,PC3,0,0.301,0.432,5105
1797,672,iocetamic acid,7 ?M,MCF7,0,0.301,0.626,3361
1798,641,berberine,11 ?M,HL60,0,0.3,0.739,1778
1799,603,chlorpromazine,1 ?M,PC3,0,0.3,0.497,1217
1800,640,chloroquine,8 ?M,HL60,0,0.3,0.387,1719
1801,647,clopamide,12 ?M,MCF7,0,0.3,0.521,3220
1802,703,flutamide,14 ?M,PC3,0,0.3,0.464,4539
1803,617,hyoscyamine,14 ?M,PC3,0,0.299,0.616,2108
1804,710,trichostatin A,100 nM,PC3,0,0.299,0.789,6671
1805,718,ifenprodil,8 ?M,PC3,0,0.299,0.398,5044
1806,611,haloperidol,11 ?M,PC3,0,0.299,0.508,1955
1807,513,haloperidol,10 ?M,MCF7,0,0.299,0.801,1041
1808,762,metrifonate,16 ?M,PC3,0,0.299,0.531,7287
1809,700,levonorgestrel,13 ?M,MCF7,0,0.299,0.658,4730
1810,627,hydroflumethiazide,12 ?M,MCF7,0,0.299,0.448,1687
1811,506,LY-294002,10 ?M,MCF7,0,0.299,0.588,1016
1812,709,pyrazinamide,32 ?M,PC3,0,0.298,0.643,6617
1813,1034,5194442,20 ?M,PC3,0,0.298,0.502,6553
1814,1088,CP-645525-01,10 ?M,MCF7,0,0.298,0.585,7522
1815,613,hydroxyzine,9 ?M,HL60,0,0.298,0.435,2024
1816,700,6-benzylaminopurine,18 ?M,MCF7,0,0.298,0.557,4748
1817,706,tracazolate,12 ?M,MCF7,0,0.298,0.765,4964
1818,699,mebendazole,14 ?M,MCF7,0,0.298,0.531,4694
1819,641,convolamine,12 ?M,HL60,0,0.298,0.625,1779
1820,731,thiethylperazine,6 ?M,PC3,0,0.298,0.47,5756
1821,603,trichostatin A,100 nM,PC3,0,0.298,0.655,1212
1822,664,pancuronium bromide,5 ?M,HL60,0,0.298,0.593,2909
1823,751,mepenzolate bromide,10 ?M,MCF7,0,0.297,0.604,6024
1824,610,prednisone,11 ?M,PC3,0,0.297,0.45,1897
1825,718,trichostatin A,100 nM,PC3,0,0.297,0.515,5065
1826,753,ascorbic acid,22 ?M,PC3,0,0.296,0.622,6306
1827,1022,F0447-0125,10 ?M,MCF7,0,0.296,0.464,6396
1828,753,ampicillin,10 ?M,PC3,0,0.296,0.594,6307
1829,762,harmol,16 ?M,PC3,0,0.296,0.36,7320
1830,702,bendroflumethiazide,9 ?M,PC3,0,0.296,0.749,4315
1831,611,amoxapine,13 ?M,PC3,0,0.296,0.567,1931
1832,719,enilconazole,13 ?M,PC3,0,0.296,0.555,5113
1833,698,griseofulvin,11 ?M,PC3,0,0.295,0.619,7363
1834,629,morantel,11 ?M,HL60,0,0.295,0.944,1840
1835,761,Prestwick-972,23 ?M,PC3,0,0.295,0.506,7266
1836,58,W-13,10 ?M,MCF7,0,0.295,0.415,440
1837,623,trichostatin A,100 nM,HL60,0,0.295,0.46,1612
1838,613,cyproheptadine,12 ?M,HL60,0,0.294,0.467,2021
1839,695,simvastatin,10 ?M,MCF7,0,0.294,0.518,4828
1840,682,helveticoside,7 ?M,PC3,0,0.294,0.929,3770
1841,610,doxylamine,10 ?M,PC3,0,0.294,0.289,1893
1842,636,terfenadine,8 ?M,MCF7,0,0.294,0.572,2227
1843,762,norfloxacin,13 ?M,PC3,0,0.294,0.527,7283
1844,753,paracetamol,26 ?M,PC3,0,0.293,0.571,6284
1845,676,meptazinol,15 ?M,MCF7,0,0.293,0.546,7326
1846,750,acetylsalicylic acid,100 ?M,HL60,0,0.293,0.745,6164
1847,680,mephentermine,9 ?M,PC3,0,0.293,0.843,3685
1848,708,colchicine,10 ?M,MCF7,0,0.293,0.55,5675
1849,614,nalbuphine,10 ?M,HL60,0,0.292,0.466,1379
1850,762,heptaminol,22 ?M,PC3,0,0.292,0.526,7313
1851,752,hexestrol,15 ?M,MCF7,0,0.292,0.674,6077
1852,654,dl-alpha tocopherol,9 ?M,MCF7,0,0.292,0.497,3256
1853,708,ketoconazole,8 ?M,MCF7,0,0.291,0.68,5685
1854,657,cyclizine,13 ?M,MCF7,0,0.291,0.588,2880
1855,629,allantoin,25 ?M,HL60,0,0.291,0.93,1842
1856,761,etodolac,14 ?M,PC3,0,0.291,0.559,7246
1857,663,quinisocaine,13 ?M,MCF7,0,0.291,0.546,2807
1858,744,riboflavin,11 ?M,MCF7,0,0.291,0.593,6822
1859,719,pyrantel,11 ?M,PC3,0,0.29,0.633,5088
1860,761,triprolidine,13 ?M,PC3,0,0.29,0.349,7248
1861,706,Prestwick-682,6 ?M,MCF7,0,0.29,0.501,4984
1862,1034,alprostadil,10 ?M,PC3,0,0.29,0.608,6555
1863,613,paclitaxel,5 ?M,HL60,0,0.29,0.365,2043
1864,751,metamizole sodium,12 ?M,MCF7,0,0.29,0.832,6030
1865,702,trichostatin A,100 nM,PC3,0,0.289,0.467,4344
1866,715,rolipram,15 ?M,PC3,0,0.289,0.575,6730
1867,615,hyoscyamine,14 ?M,HL60,0,0.289,0.544,1424
1868,744,clonidine,15 ?M,MCF7,0,0.289,0.514,6814
1869,753,baclofen,19 ?M,PC3,0,0.289,0.747,6313
1870,752,tetrandrine,6 ?M,MCF7,0,0.289,0.624,6082
1871,762,tranylcypromine,24 ?M,PC3,0,0.289,0.496,7293
1872,636,acetylsalicylsalicylic acid,13 ?M,MCF7,0,0.289,0.514,2223
1873,631,ginkgolide A,10 ?M,HL60,0,0.288,0.68,1324
1874,754,oxymetazoline,13 ?M,PC3,0,0.288,0.421,6350
1875,31,fasudil,10 ?M,MCF7,0,0.288,0.436,343
1876,711,proglumide,12 ?M,MCF7,0,0.288,0.537,3972
1877,1067,alsterpaullone,10 ?M,PC3,0,0.288,0.505,7056
1878,659,nicotinic acid,32 ?M,HL60,0,0.288,0.615,3043
1879,685,PNU-0230031,1 ?M,MCF7,0,0.287,0.436,3632
1880,642,riluzole,15 ?M,MCF7,0,0.287,0.601,2295
1881,772,aminoglutethimide,17 ?M,MCF7,0,0.287,0.464,7463
1882,746,thioproperazine,6 ?M,MCF7,0,0.287,0.465,6265
1883,738,proguanil,14 ?M,MCF7,0,0.287,0.583,5506
1884,658,arcaine,15 ?M,HL60,0,0.287,0.758,3010
1885,750,rosiglitazone,10 ?M,HL60,0,0.287,0.672,6192
1886,603,haloperidol,10 ?M,PC3,0,0.286,0.774,1203
1887,715,neostigmine bromide,13 ?M,PC3,0,0.286,0.385,6735
1888,622,benzydamine,12 ?M,HL60,0,0.286,0.505,1552
1889,611,azacyclonol,15 ?M,PC3,0,0.286,0.345,1937
1890,612,idoxuridine,11 ?M,HL60,0,0.286,0.535,1980
1891,680,trichostatin A,100 nM,PC3,0,0.286,0.496,3688
1892,748,mepyramine,10 ?M,MCF7,0,0.286,0.54,7223
1893,683,orphenadrine,13 ?M,PC3,0,0.286,0.416,3801
1894,762,lansoprazole,11 ?M,PC3,0,0.286,0.582,7306
1895,611,erythromycin,5 ?M,PC3,0,0.286,0.349,1928
1896,726,clioquinol,13 ?M,MCF7,0,0.285,0.596,5258
1897,603,prochlorperazine,10 ?M,PC3,0,0.285,0.716,1215
1898,629,carbamazepine,17 ?M,HL60,0,0.285,0.551,1847
1899,714,hesperidin,7 ?M,PC3,0,0.285,0.589,6714
1900,707,clomifene,7 ?M,MCF7,0,0.284,0.801,4994
1901,715,ergocalciferol,10 ?M,PC3,0,0.284,0.752,6746
1902,752,nadide,6 ?M,MCF7,0,0.284,0.493,6091
1903,617,etofylline,18 ?M,PC3,0,0.284,0.774,2093
1904,707,methoxsalen,19 ?M,MCF7,0,0.284,0.489,5007
1905,753,butoconazole,8 ?M,PC3,0,0.284,0.565,6288
1906,756,adipiodone,4 ?M,MCF7,0,0.284,0.643,6490
1907,74,nordihydroguaiaretic acid,1 ?M,ssMCF7,0,0.284,0.526,524
1908,617,antimycin A,7 ?M,PC3,0,0.284,0.505,2098
1909,37,rofecoxib,10 ?M,HL60,0,0.284,0.528,371
1910,659,fluvastatin,9 ?M,HL60,0,0.283,0.664,3032
1911,757,sirolimus,100 nM,MCF7,0,0.283,0.492,5581
1912,750,alpha-estradiol,10 nM,HL60,0,0.283,0.576,6169
1913,754,proxymetacaine,12 ?M,PC3,0,0.283,0.559,6332
1914,613,metolazone,11 ?M,HL60,0,0.283,0.416,2014
1915,673,equilin,15 ?M,MCF7,0,0.283,0.41,3377
1916,611,bromocriptine,5 ?M,PC3,0,0.282,0.511,1925
1917,732,tretinoin,13 ?M,PC3,0,0.282,0.554,5767
1918,733,trichostatin A,100 nM,PC3,0,0.282,0.469,5822
1919,715,cefotiam,7 ?M,PC3,0,0.282,0.574,6762
1920,1079,trichostatin A,1 ?M,PC3,0,0.282,0.698,7105
1921,665,pyrvinium,3 ?M,HL60,0,0.282,0.618,2957
1922,630,thioguanosine,13 ?M,HL60,0,0.281,0.576,1264
1923,750,troglitazone,10 ?M,HL60,0,0.281,0.448,6191
1924,702,mexiletine,19 ?M,PC3,0,0.281,0.488,4338
1925,648,butirosin,5 ?M,HL60,0,0.281,0.572,2518
1926,1065,trichostatin A,1 ?M,PC3,0,0.281,0.492,7047
1927,622,mebeverine,9 ?M,HL60,0,0.281,0.473,1576
1928,617,trichostatin A,100 nM,PC3,0,0.281,0.519,2105
1929,764,dipivefrine,10 ?M,PC3,0,0.281,0.677,7124
1930,709,Chicago Sky Blue 6B,4 ?M,PC3,0,0.281,0.609,6626
1931,750,wortmannin,10 nM,HL60,0,0.281,0.528,6202
1932,736,isradipine,11 ?M,MCF7,0,0.281,0.41,5447
1933,635,atovaquone,11 ?M,HL60,0,0.281,0.481,2480
1934,710,thioguanosine,13 ?M,PC3,0,0.281,0.361,6643
1935,628,chlorpromazine,11 ?M,PC3,0,0.281,0.536,1822
1936,665,iopanoic acid,7 ?M,HL60,0,0.28,0.677,2965
1937,627,mefenamic acid,17 ?M,MCF7,0,0.28,0.501,1699
1938,627,triamterene,16 ?M,MCF7,0,0.28,0.466,1697
1939,754,trifluoperazine,8 ?M,PC3,0,0.28,0.501,6341
1940,753,metolazone,11 ?M,PC3,0,0.28,0.541,6292
1941,714,monobenzone,20 ?M,PC3,0,0.28,0.555,6713
1942,707,amoxapine,13 ?M,MCF7,0,0.28,0.746,4996
1943,762,nifedipine,12 ?M,PC3,0,0.28,0.525,7303
1944,629,meticrane,15 ?M,HL60,0,0.28,0.786,1834
1945,736,pinacidil,16 ?M,MCF7,0,0.279,0.445,5456
1946,627,sulfacetamide,16 ?M,MCF7,0,0.279,0.453,1695
1947,680,calcium folinate,8 ?M,PC3,0,0.278,0.483,3703
1948,614,mianserin,13 ?M,HL60,0,0.278,0.403,1385
1949,611,metolazone,11 ?M,PC3,0,0.278,0.53,1932
1950,611,methotrexate,9 ?M,PC3,0,0.278,0.684,1957
1951,641,ipratropium bromide,10 ?M,HL60,0,0.278,0.61,1769
1952,711,famprofazone,11 ?M,MCF7,0,0.278,0.544,3928
1953,657,sulfasalazine,10 ?M,MCF7,0,0.278,0.605,2882
1954,623,clenbuterol,13 ?M,HL60,0,0.278,0.372,1613
1955,758,phthalylsulfathiazole,10 ?M,MCF7,0,0.278,0.649,5614
1956,663,dydrogesterone,13 ?M,MCF7,0,0.278,0.749,2811
1957,691,Prestwick-691,14 ?M,MCF7,0,0.278,0.419,4172
1958,702,fludrocortisone,9 ?M,PC3,0,0.277,0.351,4342
1959,753,verapamil,8 ?M,PC3,0,0.277,0.556,6287
1960,700,hydralazine,20 ?M,MCF7,0,0.277,0.582,4746
1961,660,cantharidin,20 ?M,HL60,0,0.277,0.736,3075
1962,702,vincamine,11 ?M,PC3,0,0.277,0.488,4341
1963,622,praziquantel,13 ?M,HL60,0,0.277,0.459,1572
1964,726,sulfafurazole,15 ?M,MCF7,0,0.277,0.587,5257
1965,630,naftidrofuryl,8 ?M,HL60,0,0.277,0.414,1267
1966,611,lynestrenol,14 ?M,PC3,0,0.276,0.425,1953
1967,692,spectinomycin,10 ?M,PC3,0,0.276,0.496,4187
1968,618,dantrolene,12 ?M,HL60,0,0.276,0.693,2369
1969,662,hydrocotarnine,13 ?M,MCF7,0,0.276,0.577,2765
1970,762,dosulepin,12 ?M,PC3,0,0.276,0.383,7284
1971,714,glycocholic acid,9 ?M,PC3,0,0.276,0.614,6716
1972,748,harmine,16 ?M,MCF7,0,0.276,0.691,7209
1973,752,abamectin,5 ?M,MCF7,0,0.276,0.642,6081
1974,751,fludroxycortide,9 ?M,MCF7,0,0.276,0.647,6039
1975,708,betaxolol,12 ?M,MCF7,0,0.276,0.542,5669
1976,663,galantamine,11 ?M,MCF7,0,0.276,0.865,2787
1977,653,cefalexin,11 ?M,MCF7,0,0.275,0.453,2628
1978,622,fluphenazine,8 ?M,HL60,0,0.275,0.513,1577
1979,1044,STOCK1N-35874,14 ?M,PC3,0,0.275,0.544,6583
1980,660,fluspirilene,8 ?M,HL60,0,0.275,0.567,3086
1981,1052,carmustine,100 ?M,PC3,0,0.275,0.652,6883
1982,765,troglitazone,10 ?M,MCF7,0,0.275,0.519,6991
1983,725,chlorpromazine,1 ?M,MCF7,0,0.275,0.463,5214
1984,655,felodipine,10 ?M,MCF7,0,0.274,0.545,3295
1985,703,trichostatin A,100 nM,PC3,0,0.274,0.723,4526
1986,702,0317956-0000,1 ?M,PC3,0,0.274,0.75,4334
1987,1029,F0447-0125,10 ?M,PC3,0,0.274,0.515,6429
1988,700,PNU-0230031,1 ?M,MCF7,0,0.274,0.52,4757
1989,707,velnacrine,12 ?M,MCF7,0,0.274,0.555,4997
1990,750,sirolimus,100 nM,HL60,0,0.274,0.534,6201
1991,629,nifedipine,12 ?M,HL60,0,0.274,0.77,1856
1992,630,androsterone,14 ?M,HL60,0,0.274,0.516,1296
1993,701,levonorgestrel,13 ?M,PC3,0,0.274,0.48,4269
1994,751,famprofazone,11 ?M,MCF7,0,0.273,0.614,6029
1995,603,trichostatin A,1 ?M,PC3,0,0.273,0.545,1234
1996,713,butyl hydroxybenzoate,21 ?M,PC3,0,0.273,0.484,4647
1997,750,LY-294002,10 ?M,HL60,0,0.273,0.582,6186
1998,682,lanatoside C,4 ?M,PC3,0,0.273,0.838,3771
1999,686,PHA-00851261E,10 ?M,MCF7,0,0.273,0.394,3854
2000,731,sulfametoxydiazine,14 ?M,PC3,0,0.273,0.545,5732
2001,708,eticlopride,11 ?M,MCF7,0,0.273,0.479,5695
2002,506,sirolimus,100 nM,MCF7,0,0.272,0.703,1001
2003,1071,PHA-00816795,10 ?M,PC3,0,0.272,0.537,7072
2004,707,sulconazole,9 ?M,MCF7,0,0.272,0.663,4998
2005,73,tanespimycin,1 ?M,SKMEL5,0,0.272,0.483,505
2006,619,difenidol,12 ?M,HL60,0,0.271,0.637,2374
2007,729,hesperidin,7 ?M,MCF7,0,0.271,0.456,5313
2008,622,bupropion,14 ?M,HL60,0,0.271,0.522,1564
2009,762,ozagrel,15 ?M,PC3,0,0.271,0.527,7281
2010,611,moroxydine,19 ?M,PC3,0,0.271,0.661,1944
2011,709,Prestwick-682,6 ?M,PC3,0,0.271,0.545,6638
2012,611,dipyridamole,8 ?M,PC3,0,0.271,0.554,1934
2013,641,ellipticine,16 ?M,HL60,0,0.271,0.421,1765
2014,704,apigenin,15 ?M,PC3,0,0.271,0.405,4578
2015,713,naloxone,11 ?M,PC3,0,0.271,0.616,4645
2016,744,acepromazine,9 ?M,MCF7,0,0.27,0.577,6832
2017,727,chlorpromazine,1 ?M,PC3,0,0.27,0.491,4441
2018,623,ketanserin,7 ?M,HL60,0,0.27,0.662,1593
2019,628,metformin,24 ?M,PC3,0,0.27,0.547,1816
2020,610,ticlopidine,13 ?M,PC3,0,0.27,0.767,1895
2021,714,puromycin,7 ?M,PC3,0,0.269,0.493,6711
2022,642,pentolonium,7 ?M,MCF7,0,0.269,0.62,2305
2023,731,etacrynic acid,13 ?M,PC3,0,0.269,0.489,5742
2024,629,noretynodrel,13 ?M,HL60,0,0.269,0.646,1860
2025,641,"1,4-chrysenequinone",15 ?M,HL60,0,0.269,0.736,1773
2026,626,LY-294002,10 ?M,MCF7,0,0.269,0.741,1661
2027,700,nefopam,14 ?M,MCF7,0,0.269,0.624,4752
2028,671,dienestrol,15 ?M,MCF7,0,0.268,0.551,3448
2029,1019,PF-00539758-00,10 ?M,PC3,0,0.268,0.504,6379
2030,726,cefalexin,11 ?M,MCF7,0,0.268,0.627,5250
2031,712,dimethadione,31 ?M,PC3,0,0.268,0.558,4607
2032,623,chlormezanone,15 ?M,HL60,0,0.268,0.461,1620
2033,683,fenbendazole,13 ?M,PC3,0,0.267,0.612,3805
2034,656,propylthiouracil,23 ?M,MCF7,0,0.267,0.742,2837
2035,765,sirolimus,100 nM,MCF7,0,0.267,0.786,6981
2036,671,methacholine chloride,20 ?M,MCF7,0,0.267,0.597,3452
2037,708,tonzonium bromide,7 ?M,MCF7,0,0.267,0.476,5678
2038,1069,SC-19220,10 ?M,PC3,0,0.267,0.437,7065
2039,1083,trichostatin A,1 ?M,PC3,0,0.267,0.441,7503
2040,610,isoxsuprine,12 ?M,PC3,0,0.267,0.367,1904
2041,653,dequalinium chloride,8 ?M,MCF7,0,0.267,0.586,2631
2042,733,pyridoxine,19 ?M,PC3,0,0.267,0.433,5813
2043,753,trichostatin A,100 nM,PC3,0,0.267,0.613,6316
2044,756,aminocaproic acid,30 ?M,MCF7,0,0.266,0.526,6501
2045,1048,fulvestrant,1 ?M,PC3,0,0.266,0.492,6867
2046,659,3-acetylcoumarin,21 ?M,HL60,0,0.266,0.471,3044
2047,636,triamcinolone,10 ?M,MCF7,0,0.266,0.528,2241
2048,732,methazolamide,17 ?M,PC3,0,0.266,0.567,5794
2049,711,eucatropine,12 ?M,MCF7,0,0.266,0.38,3935
2050,79,15-delta prostaglandin J2,10 ?M,SKMEL5,0,0.266,0.617,564
2051,762,hydrastine hydrochloride,10 ?M,PC3,0,0.266,0.615,7309
2052,660,dioxybenzone,16 ?M,HL60,0,0.266,0.598,3101
2053,502,5252917,14 ?M,MCF7,0,0.266,0.495,944
2054,1045,AG-028671,10 ?M,MCF7,0,0.266,0.574,6587
2055,712,naringin,7 ?M,PC3,0,0.265,0.302,4605
2056,708,kanamycin,7 ?M,MCF7,0,0.265,0.602,5686
2057,615,pentetrazol,29 ?M,HL60,0,0.265,0.659,1408
2058,732,mianserin,13 ?M,PC3,0,0.265,0.405,5786
2059,766,glafenine,10 ?M,MCF7,0,0.265,0.675,7018
2060,626,thioridazine,10 ?M,MCF7,0,0.265,0.511,1655
2061,705,dicycloverine,12 ?M,MCF7,0,0.264,0.327,4405
2062,653,ouabain,5 ?M,MCF7,0,0.264,0.457,2656
2063,761,artemisinin,14 ?M,PC3,0,0.264,0.482,7247
2064,1076,SC-19220,10 ?M,MCF7,0,0.264,0.446,7090
2065,705,sparteine,17 ?M,MCF7,0,0.264,0.58,4391
2066,692,digitoxigenin,11 ?M,PC3,0,0.264,0.519,4217
2067,732,hexylcaine,13 ?M,PC3,0,0.263,0.583,5768
2068,719,telenzepine,9 ?M,PC3,0,0.263,0.649,5096
2069,506,haloperidol,10 ?M,MCF7,0,0.263,0.547,983
2070,683,guaifenesin,20 ?M,PC3,0,0.263,0.631,3814
2071,751,gossypol,8 ?M,MCF7,0,0.262,0.585,6058
2072,632,miconazole,10 ?M,MCF7,0,0.262,0.504,1477
2073,687,beta-escin,3 ?M,MCF7,0,0.262,0.573,3890
2074,641,monocrotaline,12 ?M,HL60,0,0.262,0.535,1757
2075,756,enilconazole,13 ?M,MCF7,0,0.262,0.383,6518
2076,613,danazol,12 ?M,HL60,0,0.262,0.459,2038
2077,754,benzonatate,7 ?M,PC3,0,0.262,0.606,6334
