"","eff_length"
"AC105918.1",838
"AC105924.1",339
"AC105935.1",600
"AC105935.2",544
"AC105940.1",353
"AC105940.2",380
"AC105942.1",952
"AC105999.1",473
"AC106017.1",440
"AC106017.2",1173
"AC106028.1",526
"AC106028.2",464
"AC106028.3",1736
"AC106028.4",607
"AC106037.1",170
"AC106037.2",336
"AC106037.3",447
"AC106038.1",3473
"AC106038.2",568
"AC106047.1",743
"AC106052.1",497
"AC106053.1",368
"AC106706.1",556
"AC106707.1",1640
"AC106707.2",374
"AC106712.1",1888
"AC106729.1",466
"AC106730.1",540
"AC106730.2",641
"AC106733.1",1038
"AC106734.1",663
"AC106736.1",434
"AC106738.1",359
"AC106738.2",557
"AC106739.1",715
"AC106744.1",660
"AC106744.2",898
"AC106745.1",464
"AC106748.1",384
"AC106754.1",1513
"AC106754.2",233
"AC106760.1",800
"AC106760.2",619
"AC106771.1",372
"AC106772.1",591
"AC106772.2",442
"AC106774.1",321
"AC106774.2",406
"AC106774.3",169
"AC106774.4",409
"AC106779.1",1018
"AC106782.1",1693
"AC106782.2",258
"AC106782.3",210
"AC106782.4",337
"AC106782.5",512
"AC106782.6",418
"AC106785.1",262
"AC106785.2",1319
"AC106786.1",792
"AC106786.2",561
"AC106788.1",107
"AC106791.1",1148
"AC106791.2",391
"AC106793.1",2296
"AC106794.1",792
"AC106794.2",632
"AC106795.1",1570
"AC106795.2",613
"AC106795.3",547
"AC106795.5",454
"AC106796.1",615
"AC106798.1",589
"AC106799.1",1676
"AC106799.2",721
"AC106799.3",3300
"AC106800.1",1362
"AC106800.2",1103
"AC106800.3",308
"AC106800.4",153
"AC106801.1",1845
"AC106806.1",561
"AC106806.2",500
"AC106818.1",3242
"AC106820.1",420
"AC106820.2",3264
"AC106820.3",397
"AC106820.4",5616
"AC106820.5",789
"AC106821.1",572
"AC106822.1",526
"AC106827.1",431
"AC106864.1",740
"AC106865.1",3034
"AC106868.1",992
"AC106870.1",200
"AC106870.2",691
"AC106871.1",3102
"AC106872.1",1360
"AC106872.10",421
"AC106872.11",547
"AC106872.2",480
"AC106872.3",446
"AC106872.4",523
"AC106872.5",1346
"AC106872.6",312
"AC106872.7",684
"AC106872.8",1393
"AC106872.9",747
"AC106873.1",459
"AC106873.2",172
"AC106873.3",200
"AC106873.4",213
"AC106873.5",116
"AC106873.6",293
"AC106873.7",111
"AC106874.1",646
"AC106875.1",1170
"AC106875.2",596
"AC106876.1",643
"AC106881.1",3329
"AC106882.1",2371
"AC106883.1",562
"AC106886.1",600
"AC106886.2",883
"AC106886.3",547
"AC106886.4",2502
"AC106892.1",406
"AC106894.1",451
"AC106895.1",777
"AC106895.2",1824
"AC106897.1",394
"AC106900.1",317
"AC106901.1",698
"AC107015.1",747
"AC107016.1",337
"AC107016.2",190
"AC107021.1",555
"AC107021.2",2095
"AC107023.1",356
"AC107024.1",72
"AC107027.1",575
"AC107027.2",115
"AC107027.3",3473
"AC107029.1",465
"AC107029.2",2305
"AC107031.1",347
"AC107032.1",480
"AC107032.2",386
"AC107033.1",147
"AC107057.1",319
"AC107058.1",1384
"AC107068.1",4218
"AC107072.1",110
"AC107072.2",555
"AC107074.1",764
"AC107075.1",314
"AC107079.1",669
"AC107081.1",361
"AC107081.2",802
"AC107081.3",2034
"AC107083.1",279
"AC107204.1",4300
"AC107208.1",519
"AC107214.1",559
"AC107214.2",634
"AC107220.1",1037
"AC107222.1",637
"AC107223.1",1303
"AC107241.1",434
"AC107294.1",467
"AC107294.2",701
"AC107294.3",526
"AC107297.1",176
"AC107302.1",1032
"AC107304.1",296
"AC107308.1",301
"AC107373.1",603
"AC107373.2",490
"AC107375.1",2231
"AC107376.1",111
"AC107385.1",778
"AC107390.1",80
"AC107391.1",412
"AC107393.1",346
"AC107396.1",735
"AC107398.1",505
"AC107398.2",601
"AC107398.3",7000
"AC107399.1",265
"AC107401.1",685
"AC107419.1",1879
"AC107421.1",404
"AC107463.1",689
"AC107464.1",2120
"AC107464.2",569
"AC107464.3",737
"AC107613.1",1018
"AC107626.1",183
"AC107871.1",718
"AC107871.2",502
"AC107882.1",477
"AC107884.1",4433
"AC107884.2",550
"AC107886.1",516
"AC107890.1",521
"AC107892.1",2727
"AC107896.1",548
"AC107905.1",426
"AC107909.1",595
"AC107909.2",493
"AC107918.1",967
"AC107918.2",355
"AC107918.3",382
"AC107926.1",621
"AC107934.1",217
"AC107934.2",310
"AC107952.1",376
"AC107952.2",486
"AC107953.1",297
"AC107953.2",1408
"AC107954.1",727
"AC107956.1",873
"AC107956.2",454
"AC107958.1",290
"AC107958.2",592
"AC107958.3",431
"AC107959.1",1945
"AC107959.2",2636
"AC107959.3",484
"AC107973.1",576
"AC107976.1",475
"AC107980.1",3355
"AC107982.1",1300
"AC107982.2",463
"AC107982.3",985
"AC107983.1",210
"AC107990.1",489
"AC107993.1",684
"AC108002.1",340
"AC108002.2",503
"AC108010.1",1107
"AC108019.1",175
"AC108022.1",478
"AC108025.1",1058
"AC108032.1",207
"AC108037.1",423
"AC108039.1",609
"AC108039.2",359
"AC108043.1",574
"AC108047.1",404
"AC108051.1",549
"AC108058.1",2044
"AC108059.1",725
"AC108059.2",151
"AC108059.3",214
"AC108063.1",414
"AC108064.1",460
"AC108065.1",108
"AC108065.2",119
"AC108066.1",596
"AC108067.1",215
"AC108073.1",674
"AC108073.2",357
"AC108078.1",725
"AC108078.2",236
"AC108078.3",468
"AC108081.1",221
"AC108082.1",331
"AC108097.1",534
"AC108099.1",3258
"AC108102.1",548
"AC108103.1",446
"AC108112.1",659
"AC108114.1",437
"AC108120.1",991
"AC108120.2",294
"AC108120.3",1510
"AC108125.1",543
"AC108134.1",3061
"AC108134.2",748
"AC108134.3",1207
"AC108134.4",302
"AC108136.1",631
"AC108142.1",286
"AC108145.1",153
"AC108156.1",481
"AC108157.1",539
"AC108159.1",489
"AC108161.1",402
"AC108174.1",745
"AC108199.1",508
"AC108206.1",4159
"AC108210.1",825
"AC108210.2",201
"AC108215.1",3226
"AC108359.1",1211
"AC108448.1",293
"AC108448.2",730
"AC108449.1",478
"AC108449.2",552
"AC108449.3",585
"AC108451.1",2520
"AC108451.2",538
"AC108462.1",850
"AC108463.1",347
"AC108463.2",412
"AC108463.3",1482
"AC108467.1",672
"AC108467.2",1597
"AC108471.1",287
"AC108471.2",1061
"AC108472.1",618
"AC108475.1",950
"AC108479.1",427
"AC108479.2",601
"AC108482.1",722
"AC108488.1",914
"AC108515.1",525
"AC108516.1",257
"AC108516.2",349
"AC108517.1",327
"AC108667.1",249
"AC108673.1",1159
"AC108673.2",565
"AC108673.3",335
"AC108676.1",2969
"AC108676.2",163
"AC108681.1",608
"AC108688.1",713
"AC108693.1",432
"AC108693.2",303
"AC108704.1",744
"AC108704.2",1565
"AC108706.1",297
"AC108713.1",165
"AC108718.1",554
"AC108721.1",348
"AC108724.1",352
"AC108725.1",409
"AC108726.1",79
"AC108727.1",393
"AC108727.2",392
"AC108729.1",947
"AC108729.2",840
"AC108729.3",108
"AC108733.1",705
"AC108734.1",399
"AC108734.2",1069
"AC108734.3",1165
"AC108738.1",237
"AC108740.1",225
"AC108747.1",535
"AC108749.1",766
"AC108751.1",363
"AC108751.2",231
"AC108751.3",1020
"AC108751.4",1001
"AC108751.5",1336
"AC108752.1",576
"AC108860.1",383
"AC108860.2",2183
"AC108861.1",585
"AC108863.1",69
"AC108863.2",650
"AC108865.1",496
"AC108865.2",432
"AC108868.1",554
"AC108868.2",511
"AC108879.1",828
"AC108935.1",518
"AC108938.1",136
"AC108941.1",530
"AC109309.1",435
"AC109309.2",332
"AC109315.1",1347
"AC109322.1",1264
"AC109326.1",1321
"AC109329.1",317
"AC109347.1",2036
"AC109347.2",349
"AC109349.1",758
"AC109361.1",3526
"AC109361.2",483
"AC109439.1",715
"AC109439.2",564
"AC109445.1",383
"AC109446.1",220
"AC109446.2",497
"AC109446.3",641
"AC109446.4",2755
"AC109449.1",1686
"AC109454.1",498
"AC109454.2",520
"AC109454.3",669
"AC109454.4",649
"AC109458.1",316
"AC109460.1",1478
"AC109460.2",573
"AC109460.3",5296
"AC109460.4",454
"AC109462.1",763
"AC109462.2",613
"AC109464.1",819
"AC109464.2",943
"AC109466.1",1618
"AC109471.1",612
"AC109479.1",624
"AC109479.2",174
"AC109479.3",360
"AC109481.1",282
"AC109486.1",374
"AC109486.2",217
"AC109486.3",250
"AC109492.1",602
"AC109495.1",551
"AC109583.1",268
"AC109583.2",129
"AC109587.1",962
"AC109597.1",786
"AC109597.2",927
"AC109630.1",730
"AC109631.1",781
"AC109635.1",490
"AC109635.2",185
"AC109635.3",360
"AC109635.4",962
"AC109635.5",1113
"AC109638.1",326
"AC109780.1",1344
"AC109780.2",845
"AC109809.1",545
"AC109810.1",224
"AC109811.1",2807
"AC109811.2",452
"AC109925.1",331
"AC109927.1",421
"AC109927.2",303
"AC109992.1",2048
"AC109992.2",765
"AC110011.1",582
"AC110015.1",440
"AC110023.1",457
"AC110027.1",403
"AC110048.1",2157
"AC110048.2",6721
"AC110053.1",1744
"AC110056.1",911
"AC110058.1",563
"AC110079.1",4395
"AC110275.1",623
"AC110285.1",665
"AC110285.2",1565
"AC110285.3",665
"AC110285.4",424
"AC110285.5",352
"AC110285.6",1536
"AC110288.1",446
"AC110296.1",341
"AC110373.1",3505
"AC110491.1",2010
"AC110491.2",646
"AC110588.1",137
"AC110597.1",3176
"AC110597.3",3289
"AC110602.1",318
"AC110603.1",468
"AC110609.1",303
"AC110615.1",1955
"AC110619.1",2017
"AC110620.1",228
"AC110716.1",607
"AC110716.2",3945
"AC110741.1",582
"AC110741.2",268
"AC110741.3",659
"AC110749.1",357
"AC110751.1",462
"AC110753.1",1022
"AC110754.1",601
"AC110760.1",590
"AC110760.2",2546
"AC110760.3",467
"AC110767.1",239
"AC110768.1",400
"AC110768.2",329
"AC110769.1",815
"AC110769.2",1548
"AC110769.3",1173
"AC110771.1",2459
"AC110772.1",474
"AC110772.2",421
"AC110774.1",2018
"AC110775.1",462
"AC110792.1",224
"AC110792.2",1614
"AC110792.3",298
"AC110794.1",425
"AC110800.1",441
"AC110801.1",212
"AC110813.1",2209
"AC110921.1",612
"AC110926.1",2825
"AC110994.1",406
"AC110995.1",860
"AC110998.1",2053
"AC111000.1",713
"AC111000.2",550
"AC111000.3",576
"AC111000.4",2648
"AC111000.5",1178
"AC111000.6",709
"AC111149.1",343
"AC111149.2",599
"AC111152.1",693
"AC111152.2",485
"AC111152.3",673
"AC111170.1",1132
"AC111170.2",768
"AC111170.3",2464
"AC111182.1",3419
"AC111186.1",130
"AC111188.1",1387
"AC111188.2",307
"AC111193.1",155
"AC111194.1",422
"AC111194.2",455
"AC111198.1",606
"AC111200.1",657
"AC111200.2",505
"AC112173.1",327
"AC112176.1",3024
"AC112178.1",676
"AC112184.1",312
"AC112187.1",479
"AC112187.2",283
"AC112187.3",408
"AC112191.1",701
"AC112191.2",333
"AC112191.3",277
"AC112196.1",832
"AC112198.1",1220
"AC112198.2",6996
"AC112198.3",441
"AC112198.4",351
"AC112200.1",234
"AC112200.2",1739
"AC112203.1",1020
"AC112204.1",103
"AC112204.2",374
"AC112204.3",332
"AC112206.1",477
"AC112206.2",1556
"AC112206.3",389
"AC112206.4",405
"AC112211.1",305
"AC112218.1",124
"AC112219.1",947
"AC112219.2",532
"AC112220.1",355
"AC112220.2",1263
"AC112225.1",297
"AC112229.1",2918
"AC112229.2",476
"AC112229.3",3202
"AC112229.4",1528
"AC112230.1",547
"AC112236.1",1098
"AC112236.2",845
"AC112240.1",394
"AC112242.1",406
"AC112243.1",3851
"AC112247.1",657
"AC112249.1",436
"AC112250.1",745
"AC112250.2",491
"AC112255.1",2493
"AC112481.1",901
"AC112482.1",688
"AC112484.1",1298
"AC112484.2",329
"AC112484.3",811
"AC112484.4",228
"AC112487.1",1097
"AC112491.1",248
"AC112492.1",712
"AC112492.2",1030
"AC112492.3",1031
"AC112492.4",352
"AC112492.5",457
"AC112493.1",673
"AC112495.1",756
"AC112496.1",562
"AC112497.1",139
"AC112497.2",639
"AC112498.1",332
"AC112503.1",391
"AC112503.2",552
"AC112504.1",1841
"AC112512.1",1428
"AC112518.1",425
"AC112653.1",386
"AC112656.1",1415
"AC112673.1",575
"AC112693.1",682
"AC112693.2",232
"AC112694.1",943
"AC112694.2",768
"AC112695.1",592
"AC112698.1",916
"AC112702.1",366
"AC112715.1",350
"AC112719.1",315
"AC112719.2",1685
"AC112721.1",588
"AC112721.2",541
"AC112722.1",587
"AC112771.1",102
"AC112777.1",1423
"AC112778.1",827
"AC112786.1",122
"AC112786.2",123
"AC112907.1",540
"AC112907.2",330
"AC112907.3",2400
"AC113133.1",1088
"AC113137.1",558
"AC113139.1",239
"AC113143.1",301
"AC113143.2",394
"AC113145.1",412
"AC113146.1",696
"AC113155.1",769
"AC113167.1",584
"AC113174.1",105
"AC113174.2",82
"AC113189.1",327
"AC113189.2",1975
"AC113189.3",330
"AC113189.4",5553
"AC113191.1",403
"AC113192.1",321
"AC113192.2",742
"AC113192.3",486
"AC113194.1",500
"AC113208.1",131
"AC113208.2",608
"AC113208.3",720
"AC113208.4",206
"AC113331.1",869
"AC113340.1",636
"AC113340.2",104
"AC113346.1",287
"AC113346.2",457
"AC113347.1",391
"AC113347.2",279
"AC113347.3",148
"AC113347.4",685
"AC113349.1",583
"AC113349.2",377
"AC113352.1",666
"AC113355.1",491
"AC113361.1",543
"AC113367.1",532
"AC113367.2",160
"AC113367.3",1912
"AC113368.1",382
"AC113382.1",1253
"AC113382.2",646
"AC113383.1",792
"AC113385.1",563
"AC113385.2",762
"AC113385.3",747
"AC113386.1",381
"AC113391.1",578
"AC113391.2",553
"AC113398.1",406
"AC113398.2",558
"AC113403.1",193
"AC113404.1",756
"AC113404.2",174
"AC113404.3",552
"AC113410.1",247
"AC113410.2",678
"AC113410.3",203
"AC113414.1",736
"AC113418.1",517
"AC113420.1",571
"AC113423.1",289
"AC113423.2",545
"AC113430.1",718
"AC113554.1",4862
"AC113607.1",589
"AC113608.1",305
"AC113608.2",487
"AC113615.1",4121
"AC113618.1",285
"AC113935.1",555
"AC114271.1",2813
"AC114284.1",1114
"AC114291.1",1757
"AC114296.1",377
"AC114300.1",280
"AC114316.1",2957
"AC114321.1",533
"AC114322.1",926
"AC114324.1",3152
"AC114324.2",680
"AC114341.1",349
"AC114401.1",2084
"AC114402.1",328
"AC114402.2",643
"AC114477.1",605
"AC114482.1",247
"AC114485.1",657
"AC114488.1",591
"AC114488.2",900
"AC114488.3",480
"AC114489.1",395
"AC114490.1",3163
"AC114490.2",3099
"AC114491.1",246
"AC114492.1",454
"AC114495.1",436
"AC114495.2",437
"AC114498.1",607
"AC114498.2",89
"AC114501.1",172
"AC114501.2",535
"AC114501.3",164
"AC114546.1",473
"AC114546.2",477
"AC114546.3",1734
"AC114546.4",369
"AC114550.1",643
"AC114550.2",397
"AC114550.3",579
"AC114684.1",352
"AC114689.1",2484
"AC114689.2",1297
"AC114689.3",2991
"AC114728.1",483
"AC114730.1",472
"AC114730.2",668
"AC114730.3",584
"AC114737.1",453
"AC114737.2",173
"AC114741.1",464
"AC114744.1",666
"AC114748.1",143
"AC114752.1",289
"AC114752.2",404
"AC114755.1",868
"AC114755.2",361
"AC114755.3",251
"AC114755.4",443
"AC114755.5",831
"AC114757.1",449
"AC114760.1",652
"AC114760.2",2065
"AC114763.1",928
"AC114763.2",826
"AC114774.1",1770
"AC114776.1",4395
"AC114778.1",182
"AC114781.1",1028
"AC114781.2",394
"AC114781.3",142
"AC114781.4",639
"AC114781.5",108
"AC114786.1",1415
"AC114786.2",1433
"AC114786.3",705
"AC114786.4",728
"AC114797.1",728
"AC114801.1",297
"AC114801.2",781
"AC114801.3",177
"AC114803.1",311
"AC114808.1",432
"AC114808.2",536
"AC114810.1",473
"AC114811.1",168
"AC114811.2",5647
"AC114812.1",912
"AC114812.2",663
"AC114812.3",730
"AC114812.4",757
"AC114814.1",691
"AC114814.2",485
"AC114814.3",663
"AC114878.1",358
"AC114878.2",1251
"AC114928.1",415
"AC114939.1",514
"AC114940.1",1265
"AC114940.2",139
"AC114947.1",432
"AC114947.2",2125
"AC114954.1",820
"AC114956.1",512
"AC114956.2",572
"AC114956.3",482
"AC114964.1",1111
"AC114967.1",259
"AC114973.1",632
"AC114980.1",3157
"AC114981.1",678
"AC114982.1",321
"AC114982.2",358
"AC115085.1",86
"AC115088.1",108
"AC115099.1",362
"AC115102.1",487
"AC115115.1",248
"AC115220.1",1001
"AC115223.1",870
"AC115283.1",400
"AC115284.1",547
"AC115284.2",2054
"AC115285.1",736
"AC115286.1",434
"AC115522.1",556
"AC115618.1",549
"AC115618.2",450
"AC115618.3",425
"AC115619.1",1605
"AC115621.1",858
"AC115622.1",587
"AC115676.1",329
"AC115837.1",1001
"AC115837.2",677
"AC115989.1",563
"AC115990.1",301
"AC116003.1",536
"AC116003.2",748
"AC116003.3",541
"AC116021.1",653
"AC116025.1",415
"AC116025.2",443
"AC116035.1",517
"AC116036.1",367
"AC116036.2",462
"AC116038.1",408
"AC116049.1",385
"AC116049.2",754
"AC116050.1",1779
"AC116096.1",2314
"AC116158.1",2129
"AC116158.2",553
"AC116165.1",668
"AC116165.2",206
"AC116165.3",400
"AC116312.1",314
"AC116337.1",687
"AC116337.2",156
"AC116337.3",846
"AC116345.1",941
"AC116345.2",523
"AC116345.3",449
"AC116347.1",720
"AC116347.2",523
"AC116348.1",528
"AC116348.2",577
"AC116348.3",699
"AC116348.4",348
"AC116351.1",3482
"AC116351.2",1585
"AC116353.1",126
"AC116353.2",316
"AC116353.3",712
"AC116353.4",249
"AC116359.1",1099
"AC116362.1",547
"AC116366.1",3730
"AC116366.2",767
"AC116407.1",1599
"AC116407.2",860
"AC116407.3",1129
"AC116407.4",1061
"AC116424.1",671
"AC116447.1",453
"AC116456.1",815
"AC116456.2",2209
"AC116533.1",321
"AC116535.1",2335
"AC116552.1",733
"AC116553.1",463
"AC116553.2",1800
"AC116562.1",781
"AC116562.2",360
"AC116562.3",177
"AC116563.1",396
"AC116563.2",535
"AC116609.1",535
"AC116609.2",256
"AC116609.3",577
"AC116612.1",562
"AC116616.1",366
"AC116634.1",447
"AC116651.1",556
"AC116655.1",901
"AC116666.1",551
"AC116667.1",1847
"AC116903.1",539
"AC116903.2",1304
"AC116913.1",2168
"AC116913.2",71
"AC116914.1",398
"AC116914.2",291
"AC116917.1",305
"AC117372.1",627
"AC117373.1",392
"AC117377.1",1038
"AC117382.1",730
"AC117382.2",3151
"AC117383.1",422
"AC117383.2",322
"AC117386.1",606
"AC117386.2",557
"AC117392.1",596
"AC117394.1",567
"AC117394.2",323
"AC117395.1",680
"AC117409.1",1310
"AC117415.1",276
"AC117415.2",109
"AC117422.1",379
"AC117430.1",801
"AC117434.1",836
"AC117440.1",571
"AC117453.1",2100
"AC117454.1",168
"AC117457.1",1391
"AC117460.1",467
"AC117462.1",554
"AC117465.1",522
"AC117470.1",330
"AC117473.1",392
"AC117482.1",911
"AC117489.1",3217
"AC117490.1",60
"AC117490.2",594
"AC117498.1",713
"AC117498.2",511
"AC117500.1",1561
"AC117500.2",666
"AC117500.3",617
"AC117500.4",527
"AC117500.5",588
"AC117503.1",321
"AC117503.2",601
"AC117503.3",1418
"AC117503.4",549
"AC117505.1",566
"AC117522.1",380
"AC117522.2",657
"AC117522.3",584
"AC117525.1",503
"AC117529.1",2023
"AC117529.2",2068
"AC117532.1",323
"AC117569.1",739
"AC117834.1",602
"AC117834.2",436
"AC117944.1",641
"AC117945.1",463
"AC117947.1",529
"AC118273.1",3006
"AC118273.2",465
"AC118282.1",765
"AC118282.2",374
"AC118282.3",556
"AC118282.4",1712
"AC118344.1",1462
"AC118344.2",4765
"AC118345.1",366
"AC118465.1",1271
"AC118469.1",488
"AC118470.1",491
"AC118549.1",4737
"AC118553.1",655
"AC118555.1",696
"AC118650.1",89
"AC118653.1",561
"AC118658.1",459
"AC118754.1",370
"AC118754.2",537
"AC118755.1",195
"AC118755.2",212
"AC118757.1",609
"AC118758.1",564
"AC118758.2",2813
"AC118758.3",24137
"AC118942.1",1035
"AC119044.1",404
"AC119150.1",563
"AC119396.1",1558
"AC119396.2",363
"AC119403.1",776
"AC119403.2",598
"AC119424.1",350
"AC119428.1",383
"AC119501.1",475
"AC119619.1",112
"AC119674.1",1351
"AC119677.1",471
"AC119740.1",107
"AC119744.1",1715
"AC119749.1",691
"AC119751.1",765
"AC119751.2",210
"AC119751.3",670
"AC119751.4",357
"AC119751.5",770
"AC119751.6",186
"AC119751.7",245
"AC119751.8",156
"AC119800.1",423
"AC119868.1",347
"AC119868.2",432
"AC120024.1",995
"AC120024.2",175
"AC120024.3",156
"AC120024.4",2143
"AC120036.1",1474
"AC120036.2",292
"AC120036.3",256
"AC120036.4",2491
"AC120042.1",550
"AC120042.2",667
"AC120045.1",1068
"AC120045.2",178
"AC120049.1",2065
"AC120053.1",736
"AC120057.1",271
"AC120057.2",776
"AC120057.3",1615
"AC120057.4",154
"AC120114.1",1762
"AC120114.2",658
"AC120114.3",2194
"AC120114.4",556
"AC120193.1",741
"AC120338.1",1541
"AC120349.1",282
"AC120349.2",298
"AC120349.3",529
"AC120498.1",476
"AC120498.10",505
"AC120498.2",249
"AC120498.3",542
"AC120498.4",320
"AC120498.5",299
"AC120498.6",338
"AC120498.7",330
"AC120498.8",531
"AC120498.9",3867
"AC121154.1",430
"AC121161.1",652
"AC121161.2",659
"AC121247.1",1232
"AC121247.2",136
"AC121251.1",249
"AC121320.1",839
"AC121333.1",2709
"AC121334.1",802
"AC121334.2",271
"AC121336.1",134
"AC121338.1",1287
"AC121338.2",1744
"AC121342.1",550
"AC121343.1",70
"AC121493.1",450
"AC121757.1",624
"AC121758.1",134
"AC121758.2",3942
"AC121758.3",193
"AC121758.4",301
"AC121761.1",1482
"AC121761.2",689
"AC121764.1",563
"AC121764.2",587
"AC121764.3",384
"AC122108.1",424
"AC122108.2",526
"AC122129.1",1815
"AC122129.2",466
"AC122133.1",267
"AC122134.1",1201
"AC122136.1",478
"AC122138.1",646
"AC122179.1",104
"AC122683.1",717
"AC122685.1",555
"AC122688.1",223
"AC122688.2",585
"AC122688.3",3467
"AC122688.4",4394
"AC122694.1",563
"AC122707.1",219
"AC122710.1",553
"AC122710.2",541
"AC122713.1",1015
"AC122713.2",3335
"AC122714.1",459
"AC122714.2",707
"AC122718.1",744
"AC122718.2",591
"AC122719.1",559
"AC122719.2",420
"AC123023.1",555
"AC123567.1",1261
"AC123567.2",446
"AC123595.1",1046
"AC123767.1",680
"AC123768.1",461
"AC123768.2",732
"AC123768.3",969
"AC123768.4",701
"AC123769.1",5984
"AC123777.1",1247
"AC123786.1",661
"AC123786.2",275
"AC123788.1",783
"AC123788.2",283
"AC123900.1",96
"AC123904.1",368
"AC123904.2",300
"AC123904.3",814
"AC123905.1",541
"AC123912.1",447
"AC123912.2",2409
"AC123912.3",1367
"AC123912.4",1178
"AC123912.5",343
"AC123912.6",315
"AC124016.1",619
"AC124016.2",665
"AC124017.1",1616
"AC124045.1",1953
"AC124057.1",404
"AC124067.1",169
"AC124067.2",510
"AC124067.3",847
"AC124067.4",2379
"AC124068.1",678
"AC124068.2",1109
"AC124069.1",735
"AC124076.1",608
"AC124242.1",1052
"AC124242.2",1119
"AC124248.1",402
"AC124254.1",127
"AC124254.2",562
"AC124276.1",899
"AC124276.2",550
"AC124283.1",1190
"AC124283.2",318
"AC124283.3",594
"AC124283.4",456
"AC124283.5",1809
"AC124290.1",578
"AC124290.2",387
"AC124290.3",286
"AC124293.1",493
"AC124301.1",643
"AC124303.1",1449
"AC124312.1",1325
"AC124312.2",427
"AC124312.3",1236
"AC124312.4",418
"AC124319.1",653
"AC124319.2",526
"AC124319.3",2161
"AC124784.1",571
"AC124798.1",2883
"AC124804.1",2276
"AC124852.1",718
"AC124854.1",511
"AC124856.1",896
"AC124861.1",429
"AC124864.1",392
"AC124864.2",186
"AC124891.1",519
"AC124893.1",545
"AC124916.1",547
"AC124916.2",224
"AC124944.1",1242
"AC124944.2",3508
"AC124945.1",188
"AC124947.1",814
"AC124947.2",1133
"AC125232.1",1408
"AC125238.1",249
"AC125238.2",1440
"AC125257.1",2930
"AC125257.2",156
"AC125336.1",2827
"AC125388.1",156
"AC125421.1",1140
"AC125421.2",583
"AC125437.1",714
"AC125437.2",2167
"AC125494.1",1622
"AC125494.2",657
"AC125494.3",455
"AC125603.1",366
"AC125603.2",876
"AC125603.3",486
"AC125603.4",2699
"AC125604.1",707
"AC125611.1",229
"AC125611.2",647
"AC125611.3",680
"AC125611.4",4166
"AC125612.1",377
"AC125613.1",772
"AC125613.2",232
"AC125616.1",1015
"AC125618.1",563
"AC125634.1",1403
"AC125793.1",1493
"AC125807.1",614
"AC125807.2",3514
"AC126118.1",628
"AC126120.1",470
"AC126121.1",553
"AC126121.2",698
"AC126121.3",681
"AC126124.1",185
"AC126124.2",321
"AC126172.1",80
"AC126175.1",112
"AC126175.2",758
"AC126177.1",2218
"AC126177.2",688
"AC126177.3",731
"AC126177.4",178
"AC126177.5",949
"AC126177.6",679
"AC126178.1",926
"AC126182.1",357
"AC126182.2",339
"AC126283.1",364
"AC126323.1",2579
"AC126323.2",2369
"AC126323.3",564
"AC126323.4",234
"AC126323.5",592
"AC126323.6",3511
"AC126335.1",510
"AC126335.2",4637
"AC126365.1",1514
"AC126365.2",379
"AC126389.1",290
"AC126407.1",566
"AC126471.1",362
"AC126474.1",1293
"AC126474.2",1750
"AC126544.1",749
"AC126564.1",2013
"AC126603.1",2512
"AC126614.1",548
"AC126615.1",630
"AC126615.2",515
"AC126696.1",756
"AC126696.2",522
"AC126696.3",575
"AC126755.1",6405
"AC126755.2",543
"AC126755.3",1459
"AC126755.4",267
"AC126755.5",111
"AC126763.1",2118
"AC126768.1",490
"AC126768.2",560
"AC126773.1",132
"AC126773.2",118
"AC126773.3",547
"AC126773.4",1682
"AC126773.5",893
"AC126773.6",3043
"AC126915.1",1038
"AC126915.2",190
"AC126915.3",208
"AC127002.1",129
"AC127002.2",455
"AC127024.1",418
"AC127024.2",789
"AC127024.3",460
"AC127024.4",308
"AC127024.5",462
"AC127024.6",424
"AC127024.7",200
"AC127024.8",2094
"AC127029.1",237
"AC127029.2",502
"AC127070.1",555
"AC127070.2",3263
"AC127070.3",385
"AC127070.4",2104
"AC127071.1",712
"AC127071.2",527
"AC127164.1",4196
"AC127381.1",1699
"AC127381.2",303
"AC127383.1",1800
"AC127391.1",98
"AC127455.1",145
"AC127459.1",2768
"AC127459.2",932
"AC127459.3",466
"AC127496.1",3133
"AC127496.2",368
"AC127496.3",494
"AC127496.4",549
"AC127496.5",869
"AC127496.6",338
"AC127496.7",1798
"AC127502.1",1502
"AC127502.2",2351
"AC127521.1",854
"AC127522.1",751
"AC127526.1",450
"AC127526.2",983
"AC127537.1",749
"AC127540.1",689
"AC127894.1",851
"AC128657.1",145
"AC128676.1",318
"AC128677.1",442
"AC128685.1",1834
"AC128687.1",619
"AC128687.2",566
"AC128688.1",519
"AC128707.1",693
"AC128709.1",600
"AC128709.2",558
"AC128709.3",626
"AC128713.1",306
"AC128716.1",166
"AC129102.1",525
"AC129492.1",1804
"AC129492.2",517
"AC129492.3",460
"AC129492.4",465
"AC129492.5",315
"AC129492.6",1305
"AC129492.7",756
"AC129502.1",1654
"AC129507.1",2252
"AC129507.2",748
"AC129507.3",913
"AC129507.4",411
"AC129510.1",555
"AC129510.2",345
"AC129778.1",920
"AC129807.1",591
"AC129850.1",508
"AC129908.1",648
"AC129926.1",614
"AC130289.1",73
"AC130289.2",28
"AC130304.1",2385
"AC130324.1",831
"AC130324.2",638
"AC130324.3",542
